name,value
Mi xao Hao Hao tom xao chua ngot goi 75g,3600
Mien Phu Huong Ga 53g,9000
Mien Phu Huong Huong Vi Lau Thai Tom 60g,9200
Mirinda Da me Lon 330ml,9000
Mirinda soda kem 33ml,10500
Mirinda vi cam 333ml,7500
Nuoc cot dua Vietcoco hop 400ml,22000
Nuoc giat xa Arota khang khuan khu mui cho tre chai 3kg,135000
Nuoc lau kinh CIF sieu nhanh chai 520ml,26000
Nuoc lau san SUnlight huong hoa dien vy chai 1kg,31000
Nuoc mam nam ngu 500g,55500
Nuoc ngot COca Cola 320ml,9000
Nuoc ngot Pepsi khong calo vi chanh 330ml,9000
Nuoc rua chen Sunlight Chanh 100 chiet xuat chanh tuoi chai 1450ml,39900
Nuoc rua chen Sunlight Chanh 100 chiet xuat chanh tuoi chai 386ml,29500
Nuoc rua chen Sunlight Extra chanh la bac ha chai 386ml,29500
Nuoc rua chen Sunlight Extra tra xanh matcha Nhat Ban chai 386ml,29500
Nuoc suc mieng Colgate Plax Peppermint Fresh 750ml,132000
Nuoc tay bon cau nha tam VIM diet khuan 500ml,23000
Nuoc tay da nang CiF huong chanh chai 520ml,29500
Nuoc tay quan ao mau AXO huong hoa dao 400ml,27000
Nuoc tuong dau nanh dam dac Maggi chai 300ml,15200
Nuoc tuong tam thai tu 500g,17200
Nuoc tuong toi ot Chinsu chai 250ml,15200
Nuoc xit tay da nang Sowa chai 475ml,29000
Nuoc xot me rang Kewpie chai 210ml,61000
Pate gan dong hop Ha Long hop 150g,17000
Peke Potato Vi Vit Quay chips 80g,25000
Pepsi lon xanh 330ml,9000
Pin energizer aa2,25000
Pin energizer aaa4,45000
Sap thom Glade huong hoa oai huong 180g,49000
Snack bi do vi bo nuong oishi 40g,6000
Snack hanh Oishi xanh 40g,6000
Snack Indochip 40g,6000
Snack khoai tay Slide vi nguyen ban lon 160g,43500
Snack khoai tay vi thom cay Slide lon 75g,25000
Snack pho mat mieng Oishi goi 40g,6000
Snack phong muc Oishi Indo Ships goi 40g,6000
Sot lau Thai Cholimex chai 280g,19000
Sot mayonnaise Aji-mayo Ajinomoto chai 260g,32000
Sua bich dutch lady huong dau 220ml,6500
Sua bich dutch lady huong socola 220ml,6500
Sua Bich Fami Vi Dau Do Nep Cam 200ml,5200
Sua chua uong men song co duong Vinamilk Probi chai 130ml,8750
Sua dinh duong co duong Vinamilk A D3 bich 220ml,6800
Sua dinh duong khong duong Vinamilk A D3 bich 220ml,6800
Sua tiet trung co duong Dutch Lady Canxi Protein 220ml,6500
Sua tiet trung khong duong Dutch Lady Canxi Protein 220ml,6500
Sua vinamilk loc 4 hop,29500
Thit heo ham Vissan hop 150g,30000
Tra Sua Huong Dao Cozy 225ml,10500
Tra Sua Matcha Cozy 225ml,10500
Tuong ot cay nong Cholimex chai 270g,11200
Tuong ot chinsu 500g,22500
Twister vi cam 445ml,10000
Xuc xich bo an lien CP Gold 200g,22500
Xuc xich bo can lien CP Red 200g,22500
Xuc xich bo dinh duong Visan 175g,20500
Xuc xich heo hao hang Pinku Oji goi 175g,19000
Xuc xich lac xot vi truong muoi 72g,10500
Xuc xich LakLak pho mai loc xoay Xixifarm ly 49g,8500
Xuc xich pho mai Heo Cao Boi 60g,10500
Xuc xich Teen tiet trung vi bo LC FOODS goi 175g,18000
